codigo_region,region,edificio_id,nombre_comuna,setpoint_c,wall_u_multiplier,window_u_multiplier,infiltration_multiplier,heating_demand_kwh,redpe_mid_m3st_per_consumer,simulated_wood_volume_stere,relative_volume_error,assigned_fuel_energy_kwh,unallocated_fuel_energy_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,wood_mass_kg,event_count,selection_score,u_wall_1,u_window,n_air_infiltration,thermal_zone,model_persons,model_area_m2
12,Magallanes,2577343,Natales,22.0,1.0,2.0,1.0,24327.152617689335,23.345,16.68,-0.28550010708931245,31136.0,12444.0,8761.82299891642,0.0,7472.64,1946,0.3257104007970519,0.5825,8.067791715078837,0.8,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,2.0,1.5,27286.452534558848,23.345,18.085714285714285,-0.22528531652541073,33760.0,9820.0,10415.044329555003,0.0,8102.4,2110,0.2730826746234144,0.5825,8.067791715078837,1.2000000000000002,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,2.0,2.0,30246.555771430947,23.345,19.165714285714287,-0.17902273353119347,35776.0,7804.0,12364.732820725436,0.0,8586.24,2236,0.23576772123530285,0.5825,8.067791715078837,1.6,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,2.0,2.5,33206.968698926976,23.345,20.314285714285713,-0.12982284368020072,37920.0,5660.0,14250.616324308925,0.0,9100.8,2370,0.19522264324104938,0.5825,8.067791715078837,2.0,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,2.0,3.0,36167.78725602274,23.345,21.171428571428567,-0.09310650797050468,39520.0,4060.0,16408.875897047656,0.0,9484.8,2470,0.1684111242947252,0.5825,8.067791715078837,2.4000000000000004,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,2.5,1.0,26533.05121432878,23.345,17.708571428571428,-0.24144050423767707,33056.0,10524.0,10013.941050372345,0.0,7933.4400000000005,2066,0.2873970946478301,0.5825,10.084739643848547,0.8,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,2.5,1.5,29449.284094637624,23.345,18.925714285714285,-0.18930330752990848,35328.0,8252.0,11791.76651436886,0.0,8478.72,2208,0.24341880323605286,0.5825,10.084739643848547,1.2000000000000002,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,2.5,2.0,32365.740956273352,23.345,19.99714285714286,-0.14340788789278805,37328.0,6252.0,13705.726962360286,0.0,8958.720000000001,2333,0.206307047885263,0.5825,10.084739643848547,1.6,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,2.5,2.5,35282.57011277913,23.345,20.914285714285715,-0.10412140868341334,39040.0,4540.0,15764.041331538121,0.0,9369.6,2440,0.1764667108015323,0.5825,10.084739643848547,2.0,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,2.5,3.0,38199.82900162731,23.345,21.737142857142857,-0.06887372640210504,40576.0,3004.0,17918.785442523742,0.0,9738.24,2536,0.15110771191162198,0.5825,10.084739643848547,2.4000000000000004,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,3.0,1.0,28679.080544436714,23.345,18.771428571428572,-0.19591224795765375,35040.0,8540.0,11165.845402750241,0.0,8409.6,2190,0.24715522823645247,0.5825,12.101687572618255,0.8,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,3.0,1.5,31552.83858641901,23.345,19.654285714285717,-0.15809442217666664,36688.0,6892.0,13213.138963722917,0.0,8805.12,2293,0.21873296721440375,0.5825,12.101687572618255,1.2000000000000002,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,3.0,2.0,34426.9240067448,23.345,20.76,-0.1107303491111586,38752.0,4828.0,15052.752474315324,0.0,9300.480000000001,2422,0.17981136092536387,0.5825,12.101687572618255,1.6,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,3.0,2.5,37301.40850885981,23.345,21.46285714285714,-0.08062295382920796,40064.0,3516.0,17269.408508859808,0.0,9615.359999999999,2504,0.15987677901901892,0.5825,12.101687572618255,2.0,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,3.0,3.0,40176.13274373311,23.345,22.23428571428571,-0.04757825169048137,41504.0,2076.0,19429.017414394802,0.0,9960.96,2594,0.13674308608421612,0.5825,12.101687572618255,2.4000000000000004,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,1.0,1.0,21665.579674103366,23.345,15.19714285714286,-0.34901936786708676,28368.0,15212.0,7486.752056842032,0.0,6808.320000000001,1773,0.3833780280637,0.87375,4.033895857539418,0.8,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,1.0,1.5,24642.627048978422,23.345,16.697142857142858,-0.2847657803751185,31168.0,12412.0,9062.145989267954,0.0,7480.320000000001,1948,0.32635433470861075,0.87375,4.033895857539418,1.2000000000000002,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,1.0,2.0,27620.704920623255,23.345,18.025714285714287,-0.2278554600250894,33648.0,9932.0,10798.466107491124,0.0,8075.52,2103,0.2774124407845714,0.87375,4.033895857539418,1.6,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,1.0,2.5,30599.649869970024,23.345,19.114285714285717,-0.18122571367377519,35680.0,7900.0,12767.342545742908,0.0,8563.2,2230,0.23981838253904783,0.87375,4.033895857539418,2.0,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,1.0,3.0,33579.37862205362,23.345,20.202857142857145,-0.1345959673224611,37712.0,5868.0,14728.702188215531,0.0,9050.880000000001,2357,0.2021898277548408,0.87375,4.033895857539418,2.4000000000000004,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,1.5,1.0,23922.957134128912,23.345,16.388571428571428,-0.29798366123060915,30592.0,12988.0,8630.73862729745,0.0,7342.08,1912,0.3375923745270637,0.87375,6.050843786309128,0.8,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,1.5,1.5,26856.57822290581,23.345,17.717142857142857,-0.24107334088058008,33072.0,10508.0,10322.64847038107,0.0,7937.28,2067,0.28844667025360016,0.87375,6.050843786309128,1.2000000000000002,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,1.5,2.0,29791.054358095185,23.345,18.84857142857143,-0.19260777774378113,35184.0,8396.0,12207.088664372466,0.0,8444.16,2199,0.2486292952489324,0.87375,6.050843786309128,1.6,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,1.5,2.5,32726.32093852475,23.345,19.945714285714285,-0.14561086803537007,37232.0,6348.0,14116.011358480951,0.0,8935.68,2327,0.21039293025877967,0.87375,6.050843786309128,2.0,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,1.5,3.0,35662.03817649709,23.345,20.888571428571428,-0.10522289875470427,38992.0,4588.0,16169.210186399285,0.0,9358.08,2437,0.1794276265491021,0.87375,6.050843786309128,2.4000000000000004,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,2.0,1.0,26119.014371833775,23.345,17.425714285714285,-0.2535568950218768,32528.0,11052.0,9857.368142653491,0.0,7806.72,2033,0.2987949314727877,0.87375,8.067791715078837,0.8,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,2.0,1.5,29010.22097402974,23.345,18.642857142857142,-0.20141969831410825,34800.0,8780.0,11618.575514847138,0.0,8352.0,2175,0.25474037529826216,0.87375,8.067791715078837,1.2000000000000002,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,2.0,2.0,31902.27431364917,23.345,19.62857142857143,-0.15919591224795757,36640.0,6940.0,13588.294440119058,0.0,8793.6,2290,0.22155614373083532,0.87375,8.067791715078837,1.6,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,2.0,2.5,34794.73562208576,23.345,20.65714285714286,-0.11513630939632215,38560.0,5020.0,15518.27958661017,0.0,9254.4,2410,0.18635374669145832,0.87375,8.067791715078837,2.0,I,3,76.0
