codigo_region,region,scenario,n_simulations,n_inmuebles_sampled,total_inmuebles_regional,wood_inmuebles_regional,wood_share_regional,sampling_weight_wood_inmuebles,sample_expansion_weight,heating_demand_kwh_min,heating_demand_kwh_p10,heating_demand_kwh_median,heating_demand_kwh_p90,heating_demand_kwh_max,heating_demand_kwh_std,heating_demand_kwh_weighted_mean,heating_demand_kwh_m2_min,heating_demand_kwh_m2_p10,heating_demand_kwh_m2_median,heating_demand_kwh_m2_p90,heating_demand_kwh_m2_max,heating_demand_kwh_m2_std,heating_demand_kwh_m2_weighted_mean,target_fuel_energy_kwh_min,target_fuel_energy_kwh_p10,target_fuel_energy_kwh_median,target_fuel_energy_kwh_p90,target_fuel_energy_kwh_max,target_fuel_energy_kwh_std,target_fuel_energy_kwh_weighted_mean,assigned_fuel_energy_kwh_min,assigned_fuel_energy_kwh_p10,assigned_fuel_energy_kwh_median,assigned_fuel_energy_kwh_p90,assigned_fuel_energy_kwh_max,assigned_fuel_energy_kwh_std,assigned_fuel_energy_kwh_weighted_mean,unallocated_fuel_energy_kwh_min,unallocated_fuel_energy_kwh_p10,unallocated_fuel_energy_kwh_median,unallocated_fuel_energy_kwh_p90,unallocated_fuel_energy_kwh_max,unallocated_fuel_energy_kwh_std,unallocated_fuel_energy_kwh_weighted_mean,wood_volume_stere_min,wood_volume_stere_p10,wood_volume_stere_median,wood_volume_stere_p90,wood_volume_stere_max,wood_volume_stere_std,wood_volume_stere_weighted_mean,unmet_heating_energy_kwh_min,unmet_heating_energy_kwh_p10,unmet_heating_energy_kwh_median,unmet_heating_energy_kwh_p90,unmet_heating_energy_kwh_max,unmet_heating_energy_kwh_std,unmet_heating_energy_kwh_weighted_mean,redpe_target_m3st_min,redpe_target_m3st_p10,redpe_target_m3st_median,redpe_target_m3st_p90,redpe_target_m3st_max,redpe_target_m3st_std,redpe_target_m3st_weighted_mean,redpe_mid_target_m3st,wood_volume_to_redpe_mid_ratio,relative_error_to_redpe_mid,climate_severity_adjustment,hdd_base_c,hdd_regional,hdd_ratio_to_reference,wall_u_multiplier,window_u_multiplier,infiltration_multiplier,heating_demand_cv
8,Biobio,redpe_mid,88,88,484775,224598,0.463303594451034,0.22796041613803603,2552.25,764.381765036193,3232.0065943920386,5113.697593848965,10745.593309057507,36668.82882006177,4509.864189351742,6445.92777884587,48.27922243782761,66.67376574676922,103.24646177247787,166.0019172672916,213.7433180157456,35.837187122923915,107.4088367829423,13334.999999999998,13334.999999999998,13334.999999999998,13334.999999999998,13334.999999999998,0.0,13334.999999999998,1528.763530072386,6464.013188784077,10227.39518769793,13335.0,13335.000000000002,3019.5768793890725,10199.023068149565,0.0,0.0,3107.604812302069,6870.986811215921,11806.236469927611,3019.5768793890725,3135.9769318504336,0.8189804625387783,3.4628642082771837,5.478961707695319,7.14375,7.143750000000002,1.617630471101289,5.4637623579372665,0.0,0.0,0.0,4078.0933090575077,30001.328820061768,3713.2938285958526,1346.4162447710876,7.145,7.145,7.145,7.145,7.145,2.6798049271410058e-15,7.144999999999997,7.145,0.7646973209149429,-0.2353026790850571,False,12.0,,,1.0,1.0,1.0,0.8819184370183434
9,Araucania,coverage_mid,65,65,283027,160179,0.5659495383832638,0.16257701091093632,2464.2923076923075,2363.4130982939437,4257.878100117166,6911.817879058356,14039.434676678795,30133.282955045852,4560.090444690745,8107.3799161262305,71.17433304442193,95.54967632884424,142.7440443227782,197.5260779793752,237.78063904486663,37.213592213027745,144.00936589934574,3545.1196474409153,6386.817150175749,10367.726818587535,21059.15201501819,45199.924432568776,6840.135667036118,12161.069874189347,3545.1196474409153,6386.81715017575,10367.726818587535,21059.15201501819,45199.924432568776,6840.1356670361165,12161.069874189347,0.0,0.0,0.0,1.8189894035458565e-12,7.275957614183426e-12,1.3616159827505823e-12,6.436424043316108e-13,1.8991712397004905,3.4215091875941517,5.554139367100466,11.28168857947403,24.214245231733276,3.6643583930550627,6.514858861172864,590.8532745734857,1064.469525029291,1727.9544697645897,3509.858669169699,7533.3207387614675,1140.0226111726868,2026.8449790315576,,,,,,,,,,,True,12.0,1015.2865739397402,1.0,1.1,1.08,1.2,0.6597526908958425
9,Araucania,redpe_mid,65,65,283027,160179,0.5659495383832638,0.16257701091093632,2464.2923076923075,2363.4130982939437,4257.878100117166,6911.817879058356,14039.434676678795,30133.282955045852,4560.090444690745,8107.3799161262305,71.17433304442193,95.54967632884424,142.7440443227782,197.5260779793752,237.78063904486663,37.213592213027745,144.00936589934574,20640.0,20640.0,20640.0,20640.0,20640.0,0.0,20640.0,4726.826196587887,8515.756200234331,13823.635758116712,20640.0,20640.000000000004,4467.741408837923,14315.790622220311,0.0,1.4551915228366865e-12,6816.364241883288,12124.243799765669,15913.173803412112,4467.741408837923,6324.209377779691,2.532228319600654,4.562012250125536,7.405519156133954,11.057142857142857,11.057142857142859,2.3934328975917447,7.669173547618024,0.0,0.0,0.0,3719.434676678794,19813.282955045855,3115.394524422231,949.4846050160762,11.055,11.055,11.055,11.055,11.055,0.0,11.055,11.055,0.6937289504855743,-0.30627104951442574,True,12.0,1015.2865739397402,1.0,1.1,1.08,1.2,0.6597526908958425
10,Los Lagos,coverage_mid,52,52,190634,120683,0.633061258747128,0.12248972342045167,2320.826923076923,2430.305253488399,4693.361422863814,8073.972759308099,13780.640060135496,18058.363911026943,3850.9774887979997,8709.71888606091,65.68392576995673,81.77871466047606,124.21680305178961,224.82400836321725,277.1964362781743,53.53025598939157,139.82984793363724,3645.4578802325987,7040.042134295721,12110.95913896215,20670.960090203247,27087.545866540415,5776.466233196999,13064.578329091364,3645.4578802325987,7040.04213429572,12110.95913896215,20670.960090203247,27087.54586654041,5776.466233196999,13064.578329091364,0.0,0.0,0.0,1.8189894035458565e-12,3.637978807091713e-12,1.0978221081695611e-12,5.596890472448789e-13,1.9529238644103208,3.771451143372707,6.488013824444009,11.073728619751739,14.511185285646649,3.0945354820698214,6.998881247727515,607.5763133720998,1173.3403557159543,2018.4931898270247,3445.160015033873,4514.590977756736,962.7443721995,2177.4297215152274,,,,,,,,,,,True,12.0,1303.2639641264511,1.2836414836741485,1.1563290434327071,1.135304879006658,1.3095936373291381,0.47696191250563624
10,Los Lagos,redpe_mid,52,52,190634,120683,0.633061258747128,0.12248972342045167,2320.826923076923,2430.305253488399,4693.361422863814,8073.972759308099,13780.640060135496,18058.363911026943,3850.9774887979997,8709.71888606091,65.68392576995673,81.77871466047606,124.21680305178961,224.82400836321725,277.1964362781743,53.53025598939157,139.82984793363724,30045.0,30045.0,30045.0,30045.0,30045.0,0.0,30045.0,4860.610506976798,9386.722845727629,16147.945518616198,27561.280120270992,30045.0,7041.249071492865,17110.793045984065,0.0,2483.719879729007,13897.054481383802,20658.277154272368,25184.3894930232,7041.249071492865,12934.206954015935,2.6038984858804275,5.028601524496944,8.650685099258677,14.764971493002317,16.095535714285713,3.772097716871177,9.16649627463432,0.0,0.0,0.0,0.0,3035.8639110269432,632.4991131137688,154.322363068876,16.1,16.1,16.1,16.1,16.1,0.0,16.1,16.1,0.5693475946977837,-0.43065240530221627,True,12.0,1303.2639641264511,1.2836414836741485,1.1563290434327071,1.135304879006658,1.3095936373291381,0.47696191250563624
11,Aysen,coverage_mid,17,17,27888,20143,0.7222819850831899,0.020444557218979954,1184.8823529411766,5749.452627970315,9415.156432683967,13026.656279954717,18336.8558467807,26708.005321336805,4889.877318905795,13441.765157024209,130.6645600689787,201.5114469220997,375.3332253843099,458.03752162251794,507.93446555397855,107.11159089015344,353.88755450139246,8624.178941955473,14122.73464902595,19539.984419932076,27505.283770171052,40062.007982005205,7334.815978358692,20162.647735536306,8624.178941955473,14122.73464902595,19539.984419932076,27505.283770171052,40062.0079820052,7334.81597835869,20162.647735536306,0.0,0.0,0.0,1.8189894035458565e-12,7.275957614183426e-12,1.8256646164500717e-12,7.489956367541762e-13,4.620095861761861,7.565750704835331,10.467848796392182,14.73497344830592,21.46178999035993,3.929365702692156,10.801418429751594,1437.3631569925783,2353.7891081709913,3256.6640699886793,4584.2139616951745,6677.001330334206,1222.4693297264494,3360.441289256052,,,,,,,,,,,True,12.0,3079.6306340432943,3.0332624434232676,1.3733292902010659,1.3483596667428646,1.7694966379339554,0.375374709658248
11,Aysen,redpe_mid,17,17,27888,20143,0.7222819850831899,0.020444557218979954,1184.8823529411766,5749.452627970315,9415.156432683967,13026.656279954717,18336.8558467807,26708.005321336805,4889.877318905795,13441.765157024209,130.6645600689787,201.5114469220997,375.3332253843099,458.03752162251794,507.93446555397855,107.11159089015344,353.88755450139246,46410.0,46410.0,46410.0,46410.0,46410.0,0.0,46410.0,11498.90525594063,18830.312865367934,26053.312559909435,36673.7116935614,46409.99999999999,8677.272085068309,26471.412040949963,7.275957614183426e-12,9736.288306438595,20356.687440090565,27579.687134632066,34911.09474405937,8677.272085068309,19938.587959050037,6.160127815682481,10.087667606447107,13.957131728522912,19.646631264407898,24.862499999999994,4.64853861700088,14.181113593366051,0.0,0.0,0.0,0.0,3503.0053213368083,849.6035851160232,206.059136549224,24.865,24.865,24.865,24.865,24.865,0.0,24.865,24.865,0.5703242949272492,-0.42967570507275077,True,12.0,3079.6306340432943,3.0332624434232676,1.3733292902010659,1.3483596667428646,1.7694966379339554,0.375374709658248
12,Magallanes,coverage_mid,11,11,50171,1384,0.027585657052879152,0.0014047196143110886,125.81818181818181,13983.517303623217,17810.29557955329,25193.72219400996,35853.08398132406,66750.02316396282,14219.63682298762,27525.57575794676,171.15390554862262,210.90049400778858,270.06057672462646,333.2808858671857,399.5290658178062,64.45039600014697,280.6540717648357,20975.275955434827,26715.443369329936,37790.58329101494,53779.62597198609,100125.03474594423,21329.45523448143,41288.363636920134,20975.27595543483,26715.44336932993,37790.58329101494,53779.62597198608,100125.03474594423,21329.45523448143,41288.363636920134,0.0,0.0,0.0,7.275957614183426e-12,7.275957614183426e-12,3.3985951922434742e-12,1.9843520765954796e-12,11.236754976125802,14.311844662141032,20.24495533447229,28.810513913563966,53.63841147104154,11.426493875615048,22.118766234064353,3495.879325905802,4452.573894888323,6298.430548502492,8963.270995331015,16687.505790990705,3554.909205746905,6881.39393948669,,,,,,,,,,,True,12.0,3212.0945021588504,3.1637318808369237,1.3849452954002677,1.3597644718475355,1.7957717319960935,0.5644119083907526
12,Magallanes,redpe_mid,11,11,50171,1384,0.027585657052879152,0.0014047196143110886,125.81818181818181,13983.517303623217,17810.29557955329,25193.72219400996,35853.08398132406,66750.02316396282,14219.63682298762,27525.57575794676,171.15390554862262,210.90049400778858,270.06057672462646,333.2808858671857,399.5290658178062,64.45039600014697,280.6540717648357,43580.0,43580.0,43580.0,43580.0,43580.0,0.0,43580.0,27967.034607246434,35620.59115910658,43580.0,43580.0,43580.0,5132.85275118548,40834.97975085618,0.0,0.0,0.0,7959.4088408934185,15612.965392753566,5132.85275118548,2745.0202491438145,14.982339968167734,19.082459549521385,23.34642857142857,23.34642857142857,23.34642857142857,2.7497425452779347,21.87588200938724,0.0,0.0,3403.7221940099616,14063.083981324058,44960.02316396281,13196.533764142143,7108.085882518664,23.345,23.345,23.345,23.345,23.345,3.7261175413410954e-15,23.344999999999995,23.345,0.9370692657694256,-0.06293073423057438,True,12.0,3212.0945021588504,3.1637318808369237,1.3849452954002677,1.3597644718475355,1.7957717319960935,0.5644119083907526
13,RM,coverage_mid,20,23,2378702,28987,0.01218605777436602,0.02942095914742451,1449.35,1298.8640505972378,2804.8156866147524,4251.033423035382,10628.40812244336,95930.7150239875,20574.29273797851,8885.197744244637,49.349198215494255,57.92487349350856,73.0127394971156,103.66351832573083,236.86596302219138,41.00534349014293,79.82972142824885,1948.2960758958566,4207.223529922129,6376.550134553072,15942.61218366504,143896.07253598125,30861.439106967762,13327.796616366953,1948.2960758958566,4207.22352992213,6376.550134553072,15942.612183665038,143896.07253598125,30861.439106967762,13327.79661636695,0.0,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,6.904471361087857e-13,3.5588923112853715e-13,1.0437300406584946,2.2538697481725696,3.416009000653432,8.540685098391986,77.08718171570423,16.532913807304155,7.139891044482295,324.71601264930945,701.2039216536879,1062.758355758845,2657.102030610841,23982.678755996876,5143.573184494628,2221.2994360611597,,,,,,,,,,,False,12.0,,,1.0,1.0,1.0,4.8398332100827774
