edificio_id,codigo_region,region,heating_demand_kwh,calibration_target_source,calibration_target_fuel_energy_kwh,mvp_target_fuel_energy_kwh,mvp_assigned_useful_energy_kwh,mvp_unmet_heating_energy_kwh,trial,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour,valid,error,score,assigned_useful_energy_kwh,assigned_fuel_energy_kwh,profile_error_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,stored_energy_end_kwh,event_count,is_best
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,39,8.0,2.0,2.0,64.0,0.01,True,,0.7967580469650428,1320.1471463648618,4154.8184164463,1417.2298523364252,1449.7317979326717,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,40,8.0,2.0,4.0,8.0,0.0,True,,0.24091836541806583,2077.40920822315,4154.8184164463,1000.9720614991191,692.4697360743833,0.0,0.0,520,True
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,41,8.0,2.0,4.0,8.0,0.01,True,,0.3505245823547699,1924.942111163899,4154.8184164463,1075.1982475366183,844.9368331336343,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,42,8.0,2.0,4.0,16.0,0.0,True,,0.2461087774754157,2077.40920822315,4154.8184164463,1022.5372811039415,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,43,8.0,2.0,4.0,16.0,0.01,True,,0.41426659541288907,1844.917216030979,4154.8184164463,1139.9724994595524,924.9617282665544,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,44,8.0,2.0,4.0,32.0,0.0,True,,0.2489414259300496,2077.40920822315,4154.8184164463,1034.3064210705725,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,45,8.0,2.0,4.0,32.0,0.01,True,,0.5106042791214381,1713.048757051524,4154.8184164463,1210.5669344809735,1056.8301872460092,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,46,8.0,2.0,4.0,64.0,0.0,True,,0.2493749330070853,2077.40920822315,4154.8184164463,1036.1075642579003,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,47,8.0,2.0,4.0,64.0,0.01,True,,0.6501866669092438,1520.6464512321743,4154.8184164463,1309.5006453249232,1249.2324930653592,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,48,16.0,1.0,1.0,8.0,0.0,True,,0.5645475515524675,1703.7827574385162,4154.8184164463,1224.7132117959575,1066.096186859017,373.62645078463385,0.0,260,False
