edificio_id,codigo_region,region,codigo_comuna,nombre_comuna,regional_sample_rank,n_inmuebles,winter_setpoint_c,setpoint_scenario,thermal_zone,model_persons,model_area_m2,heating_demand_kwh,target_fuel_energy_kwh,redpe_target_wood_volume_stere,assigned_fuel_energy_kwh,assigned_useful_energy_kwh,wood_volume_stere,unallocated_fuel_energy_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,event_count,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour
2363323,14,Los Rios,10111,Río Bueno,20,1,,perfil_actual,F,3,145.0,17969.229048033987,26430.0,14.16,26430.0,10850.855119935222,14.158928571428572,0.0,7118.373928098762,1937.826786027349,826,32.0,1.0,1.0,16.0,0.01
2335409,14,Los Rios,10107,Máfil,21,1,,perfil_actual,G,8,60.0,2562.42745542031,26430.0,14.16,8160.0,2562.42745542031,4.371428571428572,18270.0,0.0,893.0703858724459,255,32.0,1.0,1.0,16.0,0.01
2353618,14,Los Rios,10109,La Unión,22,1,,perfil_actual,F,8,60.0,6899.602382043098,26430.0,14.16,19296.0,6899.602382043098,10.337142857142856,7134.0,0.0,1953.3328726579025,603,32.0,1.0,1.0,16.0,0.01
2284689,14,Los Rios,10101,Valdivia,23,1,,perfil_actual,G,3,39.0,4126.000051244747,26430.0,14.16,12576.0,4126.000051244747,6.737142857142857,13854.0,0.0,1369.9801522889845,393,32.0,1.0,1.0,16.0,0.01
2365647,14,Los Rios,10112,Lago Ranco,24,1,,perfil_actual,F,2,91.0,16617.88791497565,26430.0,14.16,26430.0,10683.30910652945,14.158928571428572,0.0,5934.5788084462,2086.502344902183,826,32.0,1.0,1.0,16.0,0.01
2331769,14,Los Rios,10105,Futrono,25,1,,perfil_actual,F,1,351.0,42524.58014448141,26430.0,14.16,26430.0,11815.121483303496,14.158928571428572,0.0,30709.45866117792,1157.821292130171,826,32.0,1.0,1.0,16.0,0.01
2280231,14,Los Rios,10101,Valdivia,26,1,,perfil_actual,G,3,82.0,5341.847783145413,26430.0,14.16,15328.0,5341.847783145413,8.211428571428572,11102.0,0.0,1594.8015233947744,479,32.0,1.0,1.0,16.0,0.01
2350425,14,Los Rios,10109,La Unión,27,1,,perfil_actual,F,2,35.0,6202.553840416793,26430.0,14.16,17792.0,6202.553840416793,9.53142857142857,8638.0,0.0,1892.7166892824132,556,32.0,1.0,1.0,16.0,0.01
2342810,14,Los Rios,10108,Panguipulli,28,1,,perfil_actual,F,2,36.0,7461.348251458739,26430.0,14.16,20832.0,7461.348251458739,11.159999999999998,5598.0,0.0,2153.09188408371,651,32.0,1.0,1.0,16.0,0.01
2334311,14,Los Rios,10106,Corral,29,1,,perfil_actual,G,4,56.0,7012.001031973544,26430.0,14.16,19680.0,7012.001031973544,10.542857142857143,6750.0,0.0,2015.7113564109518,615,32.0,1.0,1.0,16.0,0.01
2365900,14,Los Rios,10112,Lago Ranco,30,1,,perfil_actual,F,2,28.0,7229.597151244818,26430.0,14.16,20256.0,7229.597151244818,10.851428571428572,6174.0,0.0,2106.4319508748968,633,32.0,1.0,1.0,16.0,0.01
2354832,14,Los Rios,10110,Paillaco,31,1,,perfil_actual,F,6,85.0,9772.505604116091,26430.0,14.16,25952.0,9772.505604116091,13.902857142857142,478.0,0.0,2424.412809882853,811,32.0,1.0,1.0,16.0,0.01
2322465,14,Los Rios,10102,Mariquina,32,1,,perfil_actual,G,1,30.0,3580.071227147267,26430.0,14.16,11264.0,3580.071227147267,6.034285714285714,15166.0,0.0,1236.7463762223106,352,32.0,1.0,1.0,16.0,0.01
2362450,14,Los Rios,10111,Río Bueno,33,1,,perfil_actual,F,3,44.0,6757.1435105666105,26430.0,14.16,19200.0,6757.1435105666105,10.285714285714285,7230.0,0.0,2036.478290926298,600,32.0,1.0,1.0,16.0,0.01
2355533,14,Los Rios,10110,Paillaco,1,1,22.0,invierno_22C,F,3,49.0,8172.063847683866,26430.0,14.16,22432.0,8172.063847683866,12.017142857142856,3998.0,0.0,2247.004392141327,701,32.0,1.0,1.0,16.0,0.01
