codigo_region,region,scenario,n_simulations,heating_demand_kwh_min,heating_demand_kwh_p10,heating_demand_kwh_median,heating_demand_kwh_p90,heating_demand_kwh_max,heating_demand_kwh_std,heating_demand_kwh_m2_min,heating_demand_kwh_m2_p10,heating_demand_kwh_m2_median,heating_demand_kwh_m2_p90,heating_demand_kwh_m2_max,heating_demand_kwh_m2_std,target_fuel_energy_kwh_min,target_fuel_energy_kwh_p10,target_fuel_energy_kwh_median,target_fuel_energy_kwh_p90,target_fuel_energy_kwh_max,target_fuel_energy_kwh_std,wood_volume_stere_min,wood_volume_stere_p10,wood_volume_stere_median,wood_volume_stere_p90,wood_volume_stere_max,wood_volume_stere_std,unmet_heating_energy_kwh_min,unmet_heating_energy_kwh_p10,unmet_heating_energy_kwh_median,unmet_heating_energy_kwh_p90,unmet_heating_energy_kwh_max,unmet_heating_energy_kwh_std,heating_demand_cv
8,Biobio,redpe_mid,10,1153.4499556094484,3032.5489283170505,5965.415060698451,16714.011007348654,36668.82882006177,10269.211618822774,81.03344257655849,82.01836406020873,116.26797302762651,181.03693987005425,192.2416592682414,41.92330836159678,13334.999999999998,13334.999999999998,13334.999999999998,13334.999999999998,13334.999999999998,1.9173831849720224e-12,1.2358392381529804,3.249159566053982,6.391516136462627,7.143749999999999,7.14375,2.0281944193505796,0.0,0.0,0.0,10046.511007348654,30001.328820061768,9431.602185817124,1.7214580233450545
9,Araucania,coverage_mid,10,1984.8477880830292,2955.749043972351,6532.138671441971,9266.667523649638,11327.024694856656,2887.172698901792,65.86237872124529,70.63320680254951,99.64797119121152,126.83771207057342,127.43508160626074,25.32328345004411,2977.271682124544,4433.623565958526,9798.208007162957,13900.001285474456,16990.537042284985,4330.759048352688,1.5949669725667204,2.375155481763496,5.2490400038372975,7.446429260075601,9.102073415509814,2.32004949018894,496.2119470207572,738.9372609930876,1633.034667860493,2316.66688091241,2831.756173714166,721.7931747254484,0.44199501022908444
9,Araucania,redpe_mid,10,1984.8477880830292,2955.749043972351,6532.138671441971,9266.667523649638,11327.024694856656,2887.172698901792,65.86237872124529,70.63320680254951,99.64797119121152,126.83771207057342,127.43508160626074,25.32328345004411,20640.0,20640.0,20640.0,20640.0,20640.0,0.0,2.1266226300889595,3.166873975684662,6.9987200051163985,9.820676843747112,11.057142857142859,2.8943863738720013,0.0,0.0,0.0,100.70246948566546,1007.0246948566581,318.4491695783089,0.44199501022908444
10,Los Lagos,coverage_mid,10,3478.3613152149364,3819.2999522622586,7606.7257661109215,12698.27986466253,15102.946856054397,3974.163661362207,55.212084368491055,62.5066787413775,88.35000268362694,196.96216561189235,217.90233768511507,53.96036319516505,5217.541972822404,5728.949928393388,11410.088649166382,19047.419796993796,22654.420284081596,5961.245492043311,2.7951117711548594,3.0690803187821722,6.112547490624847,10.203974891246677,12.136296580758,3.193524370737488,869.5903288037343,954.824988065565,1901.6814415277313,3174.5699661656326,3775.7367140135993,993.540915340552,0.5224539155950236
10,Los Lagos,redpe_mid,10,3478.3613152149364,3819.2999522622586,7606.7257661109215,12698.27986466253,15102.946856054397,3974.163661362207,55.212084368491055,62.5066787413775,88.35000268362694,196.96216561189235,217.90233768511507,53.96036319516505,30045.0,30045.0,30045.0,30045.0,30045.0,0.0,3.7268156948731463,4.092107091709563,8.15006332083313,13.59668054898974,16.095535714285717,4.241275591092479,0.0,0.0,0.0,8.044685605439708,80.44685605439737,25.439529573160215,0.5224539155950236
11,Aysen,coverage_mid,10,3625.4349082911026,6738.246835753425,9426.40368920668,13179.25064795826,13449.05269432603,2917.269418337325,103.58385452260293,186.7758181369162,288.34186615281084,323.5328319081016,337.2813441154182,74.22484209037874,5438.152362436654,10107.370253630139,14139.60553381002,19768.875971937392,20173.579041489043,4375.904127505987,2.9132959084482084,5.414662635873289,7.574788678826797,10.590469270680744,10.807274486511986,2.3442343540210637,906.3587270727753,1684.5617089383563,2356.60092230167,3294.8126619895656,3362.2631735815075,729.3173545843314,0.3094785152982177
11,Aysen,redpe_mid,10,3625.4349082911026,6738.246835753425,9426.40368920668,13179.25064795826,13449.05269432603,2917.269418337325,103.58385452260293,186.7758181369162,288.34186615281084,323.5328319081016,337.2813441154182,74.22484209037874,46410.0,46410.0,46410.0,46410.0,46410.0,0.0,3.88439454459761,7.219550181164385,10.099718238435727,14.120625694240994,14.40969931534932,3.1256458053614202,0.0,0.0,0.0,0.0,0.0,0.0,0.3094785152982177
12,Magallanes,coverage_mid,10,9859.973866679931,12175.794462565813,17214.64280450733,26647.948765867855,45356.71154411781,10096.747675266677,116.29926036953285,141.7021472808126,200.90948934328867,240.26745432371976,281.71353904799804,47.299481703609004,14789.960800019897,18263.69169384872,25821.964206760993,39971.92314880178,68035.06731617672,15145.121512900016,7.9231932857249445,9.784120550276098,13.833195110764816,21.41353025828667,36.447357490808955,8.113457953339294,2464.993466669983,3043.948615641456,4303.660701126833,6661.987191466967,11339.177886029445,2524.186918816667,0.5865208932841194
12,Magallanes,redpe_mid,10,9859.973866679931,12175.794462565813,17214.64280450733,26647.948765867855,45356.71154411781,10096.747675266677,116.29926036953285,141.7021472808126,200.90948934328867,240.26745432371976,281.71353904799804,47.299481703609004,43580.0,43580.0,43580.0,43580.0,43580.0,0.0,10.564257714299927,13.0454940670348,18.44426014768643,23.34642857142857,23.346428571428582,4.309057185090146,0.0,0.0,0.0,4857.948765867857,23566.711544117807,7406.477190548585,0.5865208932841194
13,RM,coverage_mid,10,1298.8640505972378,2731.462169694826,4293.005024690342,8380.216966076357,9941.399010258418,2579.5095171528365,49.349198215494255,54.96522298760909,65.43502990538879,84.60237070040132,99.99515574393958,15.009842561067572,1948.2960758958566,4097.19325454224,6439.5075370355125,12570.325449114534,14912.098515387626,3869.2642757292547,1.0437300406584946,2.1949249577904855,3.449736180554739,6.7341029191685,7.988624204671941,2.0728201477121,324.7160126493095,682.8655424237065,1073.2512561725853,2095.0542415190907,2485.3497525646044,644.8773792882093,0.6008633817843944
13,RM,redpe_mid,10,1298.8640505972378,2731.462169694826,4293.005024690342,8380.216966076357,9941.399010258418,2579.5095171528365,49.349198215494255,54.96522298760909,65.43502990538879,84.60237070040132,99.99515574393958,15.009842561067572,5225.0,5225.0,5225.0,5225.0,5225.0,0.0,1.391640054211326,2.6583604339925606,2.799107142857143,2.799107142857143,2.799107142857143,0.44508017318468934,0.0,250.3257646351025,1680.5050246903413,5767.716966076358,7328.899010258418,2405.498955703645,0.6008633817843944
14,Los Rios,coverage_mid,10,2980.2756091011615,3823.8191984819814,7454.159263811232,14042.242699055456,17882.31966439378,4703.858064526779,51.575316107672286,67.5353931966055,140.9621229546512,180.3030258207528,193.62148841208764,46.7852132733157,4470.413413651742,5735.728797722973,11181.238895716848,21063.364048583182,26823.47949659067,7055.787096790168,2.394864328742004,3.0727118559230204,5.989949408419741,11.283945026026704,14.36972115888786,3.779885944709019,745.0689022752907,955.9547996204958,1863.5398159528086,3510.560674763864,4470.5799160984425,1175.9645161316942,0.6310380417229973
14,Los Rios,redpe_mid,10,2980.2756091011615,3823.8191984819814,7454.159263811232,14042.242699055456,17882.31966439378,4703.858064526779,51.575316107672286,67.5353931966055,140.9621229546512,180.3030258207528,193.62148841208764,46.7852132733157,26430.0,26430.0,26430.0,26430.0,26430.0,0.0,3.193152438322673,4.096949141230695,7.98659921122632,14.158928571428572,14.158928571428572,4.054096611288988,0.0,0.0,0.0,827.2426990554557,4667.319664393777,1467.2718124576115,0.6310380417229973
15,Arica y Parinacota,coverage_mid,10,819.4778627252233,2634.5076280423523,6583.178069349457,11064.03937202496,27056.80923254504,7357.246819045587,25.60868321016323,28.086466738714623,179.5837683991897,228.48120361988336,246.18802430359918,81.14694039792285,1229.2167940878348,3951.761442063528,9874.767104024184,16596.05905803744,40585.21384881756,11035.87022856838,0.6585089968327688,2.117015058248319,5.290053805727242,8.890745923948629,21.742078847580835,5.9120733367330605,204.86946568130588,658.6269070105881,1645.794517337365,2766.00984300624,6764.202308136263,1839.311704761397,1.1175828363659353
16,Nuble,coverage_mid,10,3876.0442788371333,4054.7934950413655,7584.509376245436,17284.63143898573,29642.23439426501,7882.184040997849,52.91759115667608,65.76530509272992,94.1301173942762,142.99299072579038,184.67703773101388,40.96316745659028,5814.0664182557,6082.190242562049,11376.764064368155,25926.947158478593,44463.35159139751,11823.276061496772,3.1146784383512687,3.2583162013725264,6.094695034482941,13.88943597775639,23.81965263824867,6.333897890087557,969.0110697092828,1013.6983737603412,1896.1273440613586,4321.157859746433,7410.558598566249,1970.5460102494617,1.0392477153083526
