codigo_region,region,fit_records,holdout_records,target_source,target_fuel_energy_kwh,target_wood_volume_stere,trial,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour,valid,error,score,assigned_useful_energy_kwh,assigned_fuel_energy_kwh,fuel_error_kwh,profile_error_kwh,unmet_heating_energy_kwh,unallocated_fuel_energy_kwh,storage_spill_energy_kwh,stored_energy_end_kwh,event_count
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,37,8.0,2.0,2.0,32.0,0.01,True,,0.5359074124955828,3018.9505409963863,6981.301756430104,0.0,1980.3053707234844,1635.2506299570168,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,38,8.0,2.0,2.0,64.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.550292738351,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,39,8.0,2.0,2.0,64.0,0.01,True,,0.6822287288418255,2678.7002387834996,6981.301756430104,0.0,2151.192878002457,1975.5009321699038,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,40,8.0,2.0,4.0,8.0,0.0,True,,0.323254560838814,3490.650878215052,6981.301756430104,0.0,1674.9624869888787,1163.5502927383511,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,41,8.0,2.0,4.0,8.0,0.01,True,,0.39660824488997803,3317.4856118562493,6981.301756430104,0.0,1754.1535243988812,1336.7155590971543,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,42,8.0,2.0,4.0,16.0,0.0,True,,0.3289397291329571,3490.650878215052,6981.301756430104,0.0,1714.6523623863807,1163.5502927383511,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,43,8.0,2.0,4.0,16.0,0.01,True,,0.43342868260631107,3245.3294789948877,6981.301756430104,0.0,1830.8177787470388,1408.8716919585158,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,44,8.0,2.0,4.0,32.0,0.0,True,,0.3319370502783751,3490.650878215052,6981.301756430104,0.0,1735.5775657634724,1163.5502927383511,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,45,8.0,2.0,4.0,32.0,0.01,True,,0.5057802438750767,3083.9670079827965,6981.301756430104,0.0,1932.5196829829047,1570.2341629706068,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,46,8.0,2.0,4.0,64.0,0.0,True,,0.33311194574289743,3490.6508782150527,6981.301756430104,0.0,1743.779865533563,1163.5502927383511,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,47,8.0,2.0,4.0,64.0,0.01,True,,0.6331612476446464,2791.5410691120223,6981.301756430104,0.0,2090.7400611582966,1862.6601018413814,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,48,16.0,1.0,1.0,8.0,0.0,True,,0.6868054142149562,2873.5782443002618,6981.301756430104,0.0,2053.2664795136375,1780.6229266531413,0.0,617.0726339147901,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,49,16.0,1.0,1.0,8.0,0.01,True,,0.784354041297769,2649.312545292977,6981.301756430104,0.0,2165.2253988779767,2004.8886256604264,0.0,625.4658686228254,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,50,16.0,1.0,1.0,16.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,51,16.0,1.0,1.0,16.0,0.01,True,,0.5015453247962642,3099.138258077806,6981.301756430104,0.0,1940.8825602171755,1555.0629128755975,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,52,16.0,1.0,1.0,32.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,53,16.0,1.0,1.0,32.0,0.01,True,,0.5816145767913586,2912.8511962601533,6981.301756430104,0.0,2034.152515262441,1741.3499746932498,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,54,16.0,1.0,1.0,64.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,55,16.0,1.0,1.0,64.0,0.01,True,,0.7209355659019235,2588.6263695623584,6981.301756430104,0.0,2196.23231450312,2065.5748013910447,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,56,16.0,1.0,2.0,8.0,0.0,True,,0.6868054142149562,2873.5782443002618,6981.301756430104,0.0,2053.2664795136375,1780.6229266531413,0.0,617.0726339147901,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,57,16.0,1.0,2.0,8.0,0.01,True,,0.784354041297769,2649.312545292977,6981.301756430104,0.0,2165.2253988779767,2004.8886256604264,0.0,625.4658686228254,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,58,16.0,1.0,2.0,16.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,59,16.0,1.0,2.0,16.0,0.01,True,,0.5015453247962642,3099.138258077806,6981.301756430104,0.0,1940.8825602171755,1555.0629128755975,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,60,16.0,1.0,2.0,32.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,61,16.0,1.0,2.0,32.0,0.01,True,,0.5816145767913586,2912.8511962601533,6981.301756430104,0.0,2034.152515262441,1741.3499746932498,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,62,16.0,1.0,2.0,64.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,63,16.0,1.0,2.0,64.0,0.01,True,,0.7209355659019235,2588.6263695623584,6981.301756430104,0.0,2196.23231450312,2065.5748013910447,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,64,16.0,1.0,4.0,8.0,0.0,True,,0.674118983088295,2895.336839980524,6981.301756430104,0.0,2040.8537604871658,1758.864330972879,0.0,595.3140382345279,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,65,16.0,1.0,4.0,8.0,0.01,True,,0.7727572142307014,2666.69906638753,6981.301756430104,0.0,2150.8089324619723,1987.5021045658734,0.0,602.3876886028764,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,66,16.0,1.0,4.0,16.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,67,16.0,1.0,4.0,16.0,0.01,True,,0.5013829106296315,3099.462218736887,6981.301756430104,0.0,1940.5585995580948,1554.7389522165167,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,68,16.0,1.0,4.0,32.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,69,16.0,1.0,4.0,32.0,0.01,True,,0.5814377803135059,2913.248601287578,6981.301756430104,0.0,2033.9117582696383,1740.9525696658254,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,70,16.0,1.0,4.0,64.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,71,16.0,1.0,4.0,64.0,0.01,True,,0.720813290395163,2588.915589839421,6981.301756430104,0.0,2196.1017229856607,2065.2855811139825,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,72,16.0,2.0,1.0,8.0,0.0,True,,0.4502473413352228,3286.4922524301246,6981.301756430104,0.0,1846.9822182751545,1367.7089185232785,0.0,204.15862578492718,0.0,437
